Constellation,Abbreviations,Origin,Meaning
Lynx ,Lyn,Lyncis ,"1690, Firmamentum Sobiescianum, Hevelius"
Lyra ,Lyr,Lyrae ,ancient (Ptolemy)
Mensa,Men,Mensae,"1763, Lacaille"
Microscopium,Mic,Microscopii,"1763, Lacaille"
Monoceros,Mon,Monocerotis ,"1613, Plancius"
Musca,Mus,Muscae ,"1603, Uranometria, created by Keyser and de Houtman"
Norma ,Nor,Normae,"1763, Lacaille"
Octans,Oct,Octantis,"1763, Lacaille"
Ophiuchus ,Oph,Ophiuchi ,ancient (Ptolemy)
Orion ,Ori,Orionis ,ancient (Ptolemy)
Pavo ,Pav,Pavonis ,"1603, Uranometria, created by Keyser and de Houtman"
Pegasus,Peg,Pegasi ,ancient (Ptolemy)
Perseus ,Per,Persei ,ancient (Ptolemy)
Phoenix,Phe,Phoenicis,"1603, Uranometria, created by Keyser and de Houtman"
Pictor ,Pic,Pictoris ,"1763, Lacaille"
Pisces,Psc,Piscium ,ancient (Ptolemy)
Piscis Austrinus ,PsA,Piscis Austrini ,ancient (Ptolemy)
Puppis,Pup,Puppis ,"1763, Lacaille, split from Argo Navis"
Pyxis ,Pyx,Pyxidis ,"1763, Lacaille"
Reticulum ,Ret,Reticuli ,"1763, Lacaille"
Sagitta,Sge,Sagittae,ancient (Ptolemy)
Sagittarius,Sgr,Sagittarii ,ancient (Ptolemy)
Scorpius,Sco,Scorpii,ancient (Ptolemy)
Sculptor,Scl,Sculptoris,"1763, Lacaille"
Scutum,Sct,Scuti ,"1690, Firmamentum Sobiescianum, Hevelius"
Serpens[10],Ser,Serpentis,ancient (Ptolemy)
Sextans ,Sex,Sextantis ,"1690, Firmamentum Sobiescianum, Hevelius"
Taurus ,Tau,Tauri ,ancient (Ptolemy)
Telescopium ,Tel,Telescopii ,"1763, Lacaille"
Triangulum Australe,TrA,Trianguli Australis,"1603, Uranometria, created by Keyser and de Houtman"
Triangulum,Tri,Trianguli ,ancient (Ptolemy)
Tucana ,Tuc,Tucanae,"1603, Uranometria, created by Keyser and de Houtman"
Ursa Major ,UMa,Ursae Majoris ,ancient (Ptolemy)
Ursa Minor ,UMi,Ursae Minoris ,ancient (Ptolemy)
Vela ,Vel,Velorum,"1763, Lacaille, split from Argo Navis"
Virgo ,Vir,Virginis ,ancient (Ptolemy)
Volans,Vol,Volantis,"1603, Uranometria, created by Keyser and de Houtman"
Vulpecula,Vul,Vulpeculae,"1690, Firmamentum Sobiescianum, Hevelius"
